YEAR,CHEGG_REV,PEARSON_REV,ROSETTA_STONE,DUOLINGO,BABBEL,PREPLY,ITALKI,VERBLING,TOTAL
2021,776,"4,714",150,250,198,916,315,120,"7,439"
2020,644,"4,362",150,161,147,,,,"5,464"
2019,411,"4,940",183,78,123,,,,"5,735"
2018,321,"5,511",174,36,106,,,,"6,148"
2017,255,"5,816",185,13,84,  ,,,"6,353"
2016,254,"6,169",194,,,,,,"6,617"
2015,301,"6,832",218,,,,,,"7,351"
2014,305,"8,033",262,,,,,,"8,600"
2013,256,"7,932",265,,,,,,"8,453"
2012,213,"8,019",273,,,,,,"8,505"
2011,172,"9,405",268,,,,,,"9,845"
2010,149,"8,757",259,,,,,,"9,165"
